,UID,Product #,Product Description,Qty,Unit Price,Total Price
1169,,,"Top Auxiliary Casing = Top AuxiliaryAuxiliary Casing Colors = WhiteCasing Application Location = Shipped LooseTrim Board = NoneInstallation Material Options = NoRe-Order Item = NoRoom Location = NoneUnit 1, 2, 4, 5: Unit U-Factor = ---Unit 1, 2, 4, 5: Unit Solar Heat Gain Coefficient (SHGC)= ---Unit 1, 2, 4, 5: U.S. ENERGY STAR Certified = NoUnit 3: Unit U-Factor = ---Unit 1, 2, 4, 5: Unit U-Factor = ---Unit 1, 2, 4, 5: Unit Solar Heat Gain Coefficient (SHGC)= ---Unit 1, 2, 4, 5: U.S. ENERGY STAR Certified = NoUnit 3: Unit U-Factor = ---Unit 3: Unit Solar Heat Gain Coefficient (SHGC) = ---Unit 3: U.S. ENERGY STAR Certified = NoUnit 3: Clear Opening Width = 14.423Unit 3: Clear Opening Height = 67.023Unit 3: Clear Opening Area = 6.713Unit 1, 2, 4, 5: Extension Jamb 1 Part Number =9042260Unit 1, 2, 4, 5: Head and Seat Board Part Number =9052743Unit 1, 2, 4, 5: Platform Boards Part Number = 1349314Unit 1, 2, 4, 5: Angle Bay/Bow Supports Part Number =1355020Unit 1, 2, 4, 5: Top Auxiliary Casing Part Number =1613508Unit 3: Hardware Part Number = 9016729Unit 3: Insect Screen 1 Part Number = 1345020Unit 3: Extension Jamb 1 Part Number = 9042260Unit 3: Head and Seat Board Part Number = 9052743Unit 3: Platform Boards Part Number = 1349314Unit 3: Angle Bay/Bow Supports Part Number =1355020Unit 3: Top Auxiliary Casing Part Number = 1613508VerticalFactory0"" thick, 71.875"" lengthSKU = 289185Vendor Name = S/O ANDERSEN LOGISTICSVendor Number = 60509030Customer Service = (888) 888-7020Catalog Version Date = 06/18/2019",,,
1170,20,400-3,400 Series Casement Bow,1,$75.60,$75.60
1171,,,"Overall Joined Rough Opening = 120 3/8"" x 73 7/8""",,,
1172,,,"Overall Joined Unit = 120 3/4"" x 73 3/8""",,,
1173,,,"Dimensional Entry Type = Overall Width, Angle",,,
1174,,,Installation Zip Code = 55082,,,
1175,,,U.S. ENERGY STAR® Climate Zone = Northern,,,
1176,,,Search by Unit Code = No,,,
1177,,,Frame Width = 24 1/8,,,
1178,,,Frame Height = 71 7/8,,,
1179,,,"Unit 1, 2, 4, 5: Unit Code = C56-BOW",,,
1180,,,"Unit 1, 2, 4, 5: Combination Operation / Venting =",,,
1181,,,Stationary-Stationary-Left-Stationary-Stationary,,,
1182,,,"Unit 1, 2, 4, 5: Venting / Handing = Stationary",,,
1183,,,Unit 3: Unit Code = C56-BOW,,,
1184,,,Unit 3: Combination Operation / Venting =,,,
1185,,,Stationary-Stationary-Left-Stationary-Stationary,,,
1186,,,Unit 3: Venting / Handing = Left,,,
1187,,,Unit 3: Hinge Style = Hinge with Wash Mode,,,
1188,,,Exterior Color = White,,,
1189,,,Exterior Sash/Panel Color = White,,,
1190,,,Interior Species = Pine,,,
1191,,,Interior Finish Color = White - Vinyl Wrapped,,,
1192,,,Glass Construction Type = Dual Pane,,,
1193,,,Glass Option = Low-E4 SmartSun,,,
1194,,,High Altitude Breather Tubes = No,,,
1195,,,Glass Strength = Tempered,,,
1196,,,Glass Tint = No Tint,,,
1197,,,Specialty Glass = Fern,,,
1198,,,Gas Fill = Argon,,,
1199,,,Art Glass Series = None,,,
1200,,,Removable Interior Grille,,,
1201,,,Colonial,,,
1202,,,Grille Pattern = Colonial,,,
1203,,,"Grille Bar Width = 7/8""",,,
1204,,,Exterior Grille Color = White,,,
1205,,,Interior Grille Species = Maple,,,
1206,,,Interior Grille Color = White,,,
1207,,,2W6H,,,
1208,,,Grille Alignment Type = Standard Grille Alignment,,,
1209,,,DP/PG Upgrade = No,,,
1210,,,Hardware Style = Contemporary Folding,,,
1211,,,Hardware Color/Finish = Bright Brass,,,
1212,,,Corrosion Resistant Hardware = None,,,
1213,,,Window Opening Control Device = No,,,
1214,,,Security Sensor Type = None,,,
1215,,,Insect Screen Type = Full Screen,,,
1216,,,Insect Screen Material = Aluminum,,,
1217,,,Insect Screen Color = White,,,
1218,,,Bay/Bow Option Type = Walkout,,,
1219,,,Bay/Bow/Box Extension Jamb Color = White - Painted,,,
1220,,,Head and Seat Board Species = Pine,,,
1221,,,Head and Seat Board Finish Color = White - Painted,,,
1222,,,"Overall Wall Depth = 5 1/4""",,,
1223,,,Platform Boards = Top and Bottom Platforms,,,
1224,,,Angle Bay/Bow Supports = w/Cable Support System,,,
1225,,,"Top Auxiliary Casing = Top AuxiliaryAuxiliary Casing Colors = WhiteCasing Application Location = Shipped LooseTrim Board = NoneInstallation Material Options = NoRe-Order Item = NoRoom Location = NoneUnit 1, 2, 4, 5: Unit U-Factor = ---Unit 1, 2, 4, 5: Unit Solar Heat Gain Coefficient (SHGC)= ---Unit 1, 2, 4, 5: U.S. ENERGY STAR Certified = NoUnit 3: Unit U-Factor = ---Unit 1, 2, 4, 5: Unit U-Factor = ---Unit 1, 2, 4, 5: Unit Solar Heat Gain Coefficient (SHGC)= ---Unit 1, 2, 4, 5: U.S. ENERGY STAR Certified = NoUnit 3: Unit U-Factor = ---Unit 3: Unit Solar Heat Gain Coefficient (SHGC) = ---Unit 3: U.S. ENERGY STAR Certified = NoUnit 3: Clear Opening Width = 14.423Unit 3: Clear Opening Height = 67.023Unit 3: Clear Opening Area = 6.713Unit 1, 2, 4, 5: Extension Jamb 1 Part Number =9042260Unit 1, 2, 4, 5: Head and Seat Board Part Number =9052743Unit 1, 2, 4, 5: Platform Boards Part Number = 1349314Unit 1, 2, 4, 5: Angle Bay/Bow Supports Part Number =1355020Unit 1, 2, 4, 5: Top Auxiliary Casing Part Number =1613508Unit 3: Hardware Part Number = 9016729Unit 3: Insect Screen 1 Part Number = 1345020Unit 3: Extension Jamb 1 Part Number = 9042260Unit 3: Head and Seat Board Part Number = 9052743Unit 3: Platform Boards Part Number = 1349314Unit 3: Angle Bay/Bow Supports Part Number =1355020Unit 3: Top Auxiliary Casing Part Number = 1613508VerticalFactory0"" thick, 71.875"" lengthSKU = 289185Vendor Name = S/O ANDERSEN LOGISTICSVendor Number = 60509030Customer Service = (888) 888-7020Catalog Version Date = 06/18/2019",,,
1226,21,400-4,400 Series Casement Bow,1,$76.70,$76.70
1227,,,"Overall Joined Rough Opening = 120 3/8"" x 73 7/8""",,,
1228,,,"Overall Joined Unit = 120 3/4"" x 73 3/8""",,,
1229,,,"Dimensional Entry Type = Overall Width, Angle",,,
1230,,,Installation Zip Code = 55082,,,
1231,,,U.S. ENERGY STAR® Climate Zone = Northern,,,
1232,,,Search by Unit Code = No,,,
1233,,,Frame Width = 24 1/8,,,
1234,,,Frame Height = 71 7/8,,,
1235,,,"Unit 1, 2, 4, 5: Unit Code = C56-BOW",,,
1236,,,"Unit 1, 2, 4, 5: Combination Operation / Venting =",,,
1237,,,Stationary-Stationary-Left-Stationary-Stationary,,,
1238,,,"Unit 1, 2, 4, 5: Venting / Handing = Stationary",,,
1239,,,Unit 3: Unit Code = C56-BOW,,,
1240,,,Unit 3: Combination Operation / Venting =,,,
1241,,,Stationary-Stationary-Left-Stationary-Stationary,,,
1242,,,Unit 3: Venting / Handing = Left,,,
1243,,,Unit 3: Hinge Style = Hinge with Wash Mode,,,
1244,,,Exterior Color = White,,,
1245,,,Exterior Sash/Panel Color = White,,,
1246,,,Interior Species = Pine,,,
1247,,,Interior Finish Color = White - Vinyl Wrapped,,,
1248,,,Glass Construction Type = Dual Pane,,,
1249,,,Glass Option = Low-E4 SmartSun,,,
1250,,,High Altitude Breather Tubes = No,,,
1251,,,Glass Strength = Tempered,,,
1252,,,Glass Tint = No Tint,,,
1253,,,Specialty Glass = Fern,,,
1254,,,Gas Fill = Argon,,,
1255,,,Art Glass Series = None,,,
1256,,,Removable Interior Grille,,,
1257,,,Colonial,,,
1258,,,Grille Pattern = Colonial,,,
1259,,,"Grille Bar Width = 7/8""",,,
1260,,,Exterior Grille Color = White,,,
1261,,,Interior Grille Species = Maple,,,
1262,,,Interior Grille Color = White,,,
1263,,,2W6H,,,
1264,,,Grille Alignment Type = Standard Grille Alignment,,,
1265,,,DP/PG Upgrade = No,,,
1266,,,Hardware Style = Contemporary Folding,,,
1267,,,Hardware Color/Finish = Bright Brass,,,
1268,,,Corrosion Resistant Hardware = None,,,
1269,,,Window Opening Control Device = No,,,
1270,,,Security Sensor Type = None,,,
1271,,,Insect Screen Type = Full Screen,,,
1272,,,Insect Screen Material = Aluminum,,,
1273,,,Insect Screen Color = White,,,
1274,,,Bay/Bow Option Type = Walkout,,,
1275,,,Bay/Bow/Box Extension Jamb Color = White - Painted,,,
1276,,,Head and Seat Board Species = Pine,,,
1277,,,Head and Seat Board Finish Color = White - Painted,,,
1278,,,"Overall Wall Depth = 5 1/4""",,,
1279,,,Platform Boards = Top and Bottom Platforms,,,
1280,,,Angle Bay/Bow Supports = w/Cable Support System,,,
1281,,,"Top Auxiliary Casing = Top AuxiliaryAuxiliary Casing Colors = WhiteCasing Application Location = Shipped LooseTrim Board = NoneInstallation Material Options = NoRe-Order Item = NoRoom Location = NoneUnit 1, 2, 4, 5: Unit U-Factor = ---Unit 1, 2, 4, 5: Unit Solar Heat Gain Coefficient (SHGC)= ---Unit 1, 2, 4, 5: U.S. ENERGY STAR Certified = NoUnit 3: Unit U-Factor = ---Unit 1, 2, 4, 5: Unit U-Factor = ---Unit 1, 2, 4, 5: Unit Solar Heat Gain Coefficient (SHGC)= ---Unit 1, 2, 4, 5: U.S. ENERGY STAR Certified = NoUnit 3: Unit U-Factor = ---Unit 3: Unit Solar Heat Gain Coefficient (SHGC) = ---Unit 3: U.S. ENERGY STAR Certified = NoUnit 3: Clear Opening Width = 14.423Unit 3: Clear Opening Height = 67.023Unit 3: Clear Opening Area = 6.713Unit 1, 2, 4, 5: Extension Jamb 1 Part Number =9042260Unit 1, 2, 4, 5: Head and Seat Board Part Number =9052743Unit 1, 2, 4, 5: Platform Boards Part Number = 1349314Unit 1, 2, 4, 5: Angle Bay/Bow Supports Part Number =1355020Unit 1, 2, 4, 5: Top Auxiliary Casing Part Number =1613508Unit 3: Hardware Part Number = 9016729Unit 3: Insect Screen 1 Part Number = 1345020Unit 3: Extension Jamb 1 Part Number = 9042260Unit 3: Head and Seat Board Part Number = 9052743Unit 3: Platform Boards Part Number = 1349314Unit 3: Angle Bay/Bow Supports Part Number =1355020Unit 3: Top Auxiliary Casing Part Number = 1613508VerticalFactory0"" thick, 71.875"" lengthSKU = 289185Vendor Name = S/O ANDERSEN LOGISTICSVendor Number = 60509030Customer Service = (888) 888-7020Catalog Version Date = 06/18/2019",,,
1282,22,400-5,400 Series Casement Bow,1,$51.60,$51.60
1283,,,"Overall Joined Rough Opening = 120 3/8"" x 73 7/8""",,,
1284,,,"Overall Joined Unit = 120 3/4"" x 73 3/8""",,,
1285,,,"Dimensional Entry Type = Overall Width, Angle",,,
1286,,,Installation Zip Code = 55082,,,
1287,,,U.S. ENERGY STAR® Climate Zone = Northern,,,
1288,,,Search by Unit Code = No,,,
1289,,,Frame Width = 24 1/8,,,
1290,,,Frame Height = 71 7/8,,,
1291,,,"Unit 1, 2, 4, 5: Unit Code = C56-BOW",,,
1292,,,"Unit 1, 2, 4, 5: Combination Operation / Venting =",,,
1293,,,Stationary-Stationary-Left-Stationary-Stationary,,,
1294,,,"Unit 1, 2, 4, 5: Venting / Handing = Stationary",,,
1295,,,Unit 3: Unit Code = C56-BOW,,,
1296,,,Unit 3: Combination Operation / Venting =,,,
1297,,,Stationary-Stationary-Left-Stationary-Stationary,,,
1298,,,Unit 3: Venting / Handing = Left,,,
1299,,,Unit 3: Hinge Style = Hinge with Wash Mode,,,
1300,,,Exterior Color = White,,,
1301,,,Exterior Sash/Panel Color = White,,,
1302,,,Interior Species = Pine,,,
1303,,,Interior Finish Color = White - Vinyl Wrapped,,,
1304,,,Glass Construction Type = Dual Pane,,,
1305,,,Glass Option = Low-E4 SmartSun,,,
1306,,,High Altitude Breather Tubes = No,,,
1307,,,Glass Strength = Tempered,,,
1308,,,Glass Tint = No Tint,,,
1309,,,Specialty Glass = Fern,,,
1310,,,Gas Fill = Argon,,,
1311,,,Art Glass Series = None,,,
1312,,,Removable Interior Grille,,,
1313,,,Colonial,,,
1314,,,Grille Pattern = Colonial,,,
1315,,,"Grille Bar Width = 7/8""",,,
1316,,,Exterior Grille Color = White,,,
1317,,,Interior Grille Species = Maple,,,
1318,,,Interior Grille Color = White,,,
1319,,,2W6H,,,
1320,,,Grille Alignment Type = Standard Grille Alignment,,,
1321,,,DP/PG Upgrade = No,,,
1322,,,Hardware Style = Contemporary Folding,,,
1323,,,Hardware Color/Finish = Bright Brass,,,
1324,,,Corrosion Resistant Hardware = None,,,
1325,,,Window Opening Control Device = No,,,
1326,,,Security Sensor Type = None,,,
1327,,,Insect Screen Type = Full Screen,,,
1328,,,Insect Screen Material = Aluminum,,,
1329,,,Insect Screen Color = White,,,
1330,,,Bay/Bow Option Type = Walkout,,,
1331,,,Bay/Bow/Box Extension Jamb Color = White - Painted,,,
1332,,,Head and Seat Board Species = Pine,,,
1333,,,Head and Seat Board Finish Color = White - Painted,,,
1334,,,"Overall Wall Depth = 5 1/4""",,,
1335,,,Platform Boards = Top and Bottom Platforms,,,
1336,,,Angle Bay/Bow Supports = w/Cable Support System,,,
1337,,,"Top Auxiliary Casing = Top AuxiliaryAuxiliary Casing Colors = WhiteCasing Application Location = Shipped LooseTrim Board = NoneInstallation Material Options = NoRe-Order Item = NoRoom Location = NoneUnit 1, 2, 4, 5: Unit U-Factor = ---Unit 1, 2, 4, 5: Unit Solar Heat Gain Coefficient (SHGC)= ---Unit 1, 2, 4, 5: U.S. ENERGY STAR Certified = NoUnit 3: Unit U-Factor = ---Unit 1, 2, 4, 5: Unit U-Factor = ---Unit 1, 2, 4, 5: Unit Solar Heat Gain Coefficient (SHGC)= ---Unit 1, 2, 4, 5: U.S. ENERGY STAR Certified = NoUnit 3: Unit U-Factor = ---Unit 3: Unit Solar Heat Gain Coefficient (SHGC) = ---Unit 3: U.S. ENERGY STAR Certified = NoUnit 3: Clear Opening Width = 14.423Unit 3: Clear Opening Height = 67.023Unit 3: Clear Opening Area = 6.713Unit 1, 2, 4, 5: Extension Jamb 1 Part Number =9042260Unit 1, 2, 4, 5: Head and Seat Board Part Number =9052743Unit 1, 2, 4, 5: Platform Boards Part Number = 1349314Unit 1, 2, 4, 5: Angle Bay/Bow Supports Part Number =1355020Unit 1, 2, 4, 5: Top Auxiliary Casing Part Number =1613508Unit 3: Hardware Part Number = 9016729Unit 3: Insect Screen 1 Part Number = 1345020Unit 3: Extension Jamb 1 Part Number = 9042260Unit 3: Head and Seat Board Part Number = 9052743Unit 3: Platform Boards Part Number = 1349314Unit 3: Angle Bay/Bow Supports Part Number =1355020Unit 3: Top Auxiliary Casing Part Number = 1613508VerticalFactory0"" thick, 71.875"" lengthSKU = 289185Vendor Name = S/O ANDERSEN LOGISTICSVendor Number = 60509030Customer Service = (888) 888-7020Catalog Version Date = 06/18/2019",,,
1338,23,400-6,400 Series Casement Bow,,$75.60,$75.60
1339,,,"Overall Joined Rough Opening = 120 3/8"" x 73 7/8""",,,
1340,,,"Overall Joined Unit = 120 3/4"" x 73 3/8""",,,
1341,,,"Dimensional Entry Type = Overall Width, Angle",,,
1342,,,Installation Zip Code = 55082,,,
1343,,,U.S. ENERGY STAR® Climate Zone = Northern,,,
1344,,,Search by Unit Code = No,,,
1345,,,Frame Width = 24 1/8,,,
1346,,,Frame Height = 71 7/8,,,
1347,,,"Unit 1, 2, 4, 5: Unit Code = C56-BOW",,,
1348,,,"Unit 1, 2, 4, 5: Combination Operation / Venting =",,,
1349,,,Stationary-Stationary-Left-Stationary-Stationary,,,
1350,,,"Unit 1, 2, 4, 5: Venting / Handing = Stationary",,,
1351,,,Unit 3: Unit Code = C56-BOW,,,
1352,,,Unit 3: Combination Operation / Venting =,,,
1353,,,Stationary-Stationary-Left-Stationary-Stationary,,,
1354,,,Unit 3: Venting / Handing = Left,,,
1355,,,Unit 3: Hinge Style = Hinge with Wash Mode,,,
1356,,,Exterior Color = White,,,
1357,,,Exterior Sash/Panel Color = White,,,
1358,,,Interior Species = Pine,,,
1359,,,Interior Finish Color = White - Vinyl Wrapped,,,
1360,,,Glass Construction Type = Dual Pane,,,
1361,,,Glass Option = Low-E4 SmartSun,,,
1362,,,High Altitude Breather Tubes = No,,,
1363,,,Glass Strength = Tempered,,,
1364,,,Glass Tint = No Tint,,,
1365,,,Specialty Glass = Fern,,,
1366,,,Gas Fill = Argon,,,
1367,,,Art Glass Series = None,,,
1368,,,Removable Interior Grille,,,
1369,,,Colonial,,,
1370,,,Grille Pattern = Colonial,,,
1371,,,"Grille Bar Width = 7/8""",,,
1372,,,Exterior Grille Color = White,,,
1373,,,Interior Grille Species = Maple,,,
1374,,,Interior Grille Color = White,,,
1375,,,2W6H,,,
1376,,,Grille Alignment Type = Standard Grille Alignment,,,
1377,,,DP/PG Upgrade = No,,,
1378,,,Hardware Style = Contemporary Folding,,,
1379,,,Hardware Color/Finish = Bright Brass,,,
1380,,,Corrosion Resistant Hardware = None,,,
1381,,,Window Opening Control Device = No,,,
1382,,,Security Sensor Type = None,,,
1383,,,Insect Screen Type = Full Screen,,,
1384,,,Insect Screen Material = Aluminum,,,
1385,,,Insect Screen Color = White,,,
1386,,,Bay/Bow Option Type = Walkout,,,
1387,,,Bay/Bow/Box Extension Jamb Color = White - Painted,,,
1388,,,Head and Seat Board Species = Pine,,,
1389,,,Head and Seat Board Finish Color = White - Painted,,,
1390,,,"Overall Wall Depth = 5 1/4""",,,
1391,,,Platform Boards = Top and Bottom Platforms,,,
1392,,,Angle Bay/Bow Supports = w/Cable Support System,,,
1393,,,"Top Auxiliary Casing = Top AuxiliaryAuxiliary Casing Colors = WhiteCasing Application Location = Shipped LooseTrim Board = NoneInstallation Material Options = NoRe-Order Item = NoRoom Location = NoneUnit 1, 2, 4, 5: Unit U-Factor = ---Unit 1, 2, 4, 5: Unit Solar Heat Gain Coefficient (SHGC)= ---Unit 1, 2, 4, 5: U.S. ENERGY STAR Certified = NoUnit 3: Unit U-Factor = ---Unit 1, 2, 4, 5: Unit U-Factor = ---Unit 1, 2, 4, 5: Unit Solar Heat Gain Coefficient (SHGC)= ---Unit 1, 2, 4, 5: U.S. ENERGY STAR Certified = NoUnit 3: Unit U-Factor = ---Unit 3: Unit Solar Heat Gain Coefficient (SHGC) = ---Unit 3: U.S. ENERGY STAR Certified = NoUnit 3: Clear Opening Width = 14.423Unit 3: Clear Opening Height = 67.023Unit 3: Clear Opening Area = 6.713Unit 1, 2, 4, 5: Extension Jamb 1 Part Number =9042260Unit 1, 2, 4, 5: Head and Seat Board Part Number =9052743Unit 1, 2, 4, 5: Platform Boards Part Number = 1349314Unit 1, 2, 4, 5: Angle Bay/Bow Supports Part Number =1355020Unit 1, 2, 4, 5: Top Auxiliary Casing Part Number =1613508Unit 3: Hardware Part Number = 9016729Unit 3: Insect Screen 1 Part Number = 1345020Unit 3: Extension Jamb 1 Part Number = 9042260Unit 3: Head and Seat Board Part Number = 9052743Unit 3: Platform Boards Part Number = 1349314Unit 3: Angle Bay/Bow Supports Part Number =1355020Unit 3: Top Auxiliary Casing Part Number = 1613508VerticalFactory0"" thick, 71.875"" lengthSKU = 289185Vendor Name = S/O ANDERSEN LOGISTICSVendor Number = 60509030Customer Service = (888) 888-7020Catalog Version Date = 06/18/2019",,,
1394,24,400-7,400 Series Casement Bow,1,$75.60,$75.60
1395,,,"Overall Joined Rough Opening = 120 3/8"" x 73 7/8""",,,
1396,,,"Overall Joined Unit = 120 3/4"" x 73 3/8""",,,
1397,,,"Dimensional Entry Type = Overall Width, Angle",,,
1398,,,Installation Zip Code = 55082,,,
1399,,,U.S. ENERGY STAR® Climate Zone = Northern,,,
1400,,,Search by Unit Code = No,,,
1401,,,Frame Width = 24 1/8,,,
1402,,,Frame Height = 71 7/8,,,
1403,,,"Unit 1, 2, 4, 5: Unit Code = C56-BOW",,,
1404,,,"Unit 1, 2, 4, 5: Combination Operation / Venting =",,,
1405,,,Stationary-Stationary-Left-Stationary-Stationary,,,
1406,,,"Unit 1, 2, 4, 5: Venting / Handing = Stationary",,,
1407,,,Unit 3: Unit Code = C56-BOW,,,
1408,,,Unit 3: Combination Operation / Venting =,,,
1409,,,Stationary-Stationary-Left-Stationary-Stationary,,,
1410,,,Unit 3: Venting / Handing = Left,,,
1411,,,Unit 3: Hinge Style = Hinge with Wash Mode,,,
1412,,,Exterior Color = White,,,
1413,,,Exterior Sash/Panel Color = White,,,
1414,,,Interior Species = Pine,,,
1415,,,Interior Finish Color = White - Vinyl Wrapped,,,
1416,,,Glass Construction Type = Dual Pane,,,
1417,,,Glass Option = Low-E4 SmartSun,,,
1418,,,High Altitude Breather Tubes = No,,,
1419,,,Glass Strength = Tempered,,,
1420,,,Glass Tint = No Tint,,,
1421,,,Specialty Glass = Fern,,,
1422,,,Gas Fill = Argon,,,
1423,,,Art Glass Series = None,,,
1424,,,Removable Interior Grille,,,
1425,,,Colonial,,,
1426,,,Grille Pattern = Colonial,,,
1427,,,"Grille Bar Width = 7/8""",,,
1428,,,Exterior Grille Color = White,,,
1429,,,Interior Grille Species = Maple,,,
1430,,,Interior Grille Color = White,,,
1431,,,2W6H,,,
1432,,,Grille Alignment Type = Standard Grille Alignment,,,
1433,,,DP/PG Upgrade = No,,,
1434,,,Hardware Style = Contemporary Folding,,,
1435,,,Hardware Color/Finish = Bright Brass,,,
1436,,,Corrosion Resistant Hardware = None,,,
1437,,,Window Opening Control Device = No,,,
1438,,,Security Sensor Type = None,,,
1439,,,Insect Screen Type = Full Screen,,,
1440,,,Insect Screen Material = Aluminum,,,
1441,,,Insect Screen Color = White,,,
1442,,,Bay/Bow Option Type = Walkout,,,
1443,,,Bay/Bow/Box Extension Jamb Color = White - Painted,,,
1444,,,Head and Seat Board Species = Pine,,,
1445,,,Head and Seat Board Finish Color = White - Painted,,,
1446,,,"Overall Wall Depth = 5 1/4""",,,
1447,,,Platform Boards = Top and Bottom Platforms,,,
1448,,,Angle Bay/Bow Supports = w/Cable Support System,,,
1449,,,"Top Auxiliary Casing = Top AuxiliaryAuxiliary Casing Colors = WhiteCasing Application Location = Shipped LooseTrim Board = NoneInstallation Material Options = NoRe-Order Item = NoRoom Location = NoneUnit 1, 2, 4, 5: Unit U-Factor = ---Unit 1, 2, 4, 5: Unit Solar Heat Gain Coefficient (SHGC)= ---Unit 1, 2, 4, 5: U.S. ENERGY STAR Certified = NoUnit 3: Unit U-Factor = ---Unit 1, 2, 4, 5: Unit U-Factor = ---Unit 1, 2, 4, 5: Unit Solar Heat Gain Coefficient (SHGC)= ---Unit 1, 2, 4, 5: U.S. ENERGY STAR Certified = NoUnit 3: Unit U-Factor = ---Unit 3: Unit Solar Heat Gain Coefficient (SHGC) = ---Unit 3: U.S. ENERGY STAR Certified = NoUnit 3: Clear Opening Width = 14.423Unit 3: Clear Opening Height = 67.023Unit 3: Clear Opening Area = 6.713Unit 1, 2, 4, 5: Extension Jamb 1 Part Number =9042260Unit 1, 2, 4, 5: Head and Seat Board Part Number =9052743Unit 1, 2, 4, 5: Platform Boards Part Number = 1349314Unit 1, 2, 4, 5: Angle Bay/Bow Supports Part Number =1355020Unit 1, 2, 4, 5: Top Auxiliary Casing Part Number =1613508Unit 3: Hardware Part Number = 9016729Unit 3: Insect Screen 1 Part Number = 1345020Unit 3: Extension Jamb 1 Part Number = 9042260Unit 3: Head and Seat Board Part Number = 9052743Unit 3: Platform Boards Part Number = 1349314Unit 3: Angle Bay/Bow Supports Part Number =1355020Unit 3: Top Auxiliary Casing Part Number = 1613508VerticalFactory0"" thick, 71.875"" lengthSKU = 289185Vendor Name = S/O ANDERSEN LOGISTICSVendor Number = 60509030Customer Service = (888) 888-7020Catalog Version Date = 06/18/2019",,,
1450,25,400-8,400 Series Casement Bow,1,$75.60,$75.60
1451,,,"Overall Joined Rough Opening = 120 3/8"" x 73 7/8""",,,
1452,,,"Overall Joined Unit = 120 3/4"" x 73 3/8""",,,
1453,,,"Dimensional Entry Type = Overall Width, Angle",,,
1454,,,Installation Zip Code = 55082,,,
1455,,,U.S. ENERGY STAR® Climate Zone = Northern,,,
1456,,,Search by Unit Code = No,,,
1457,,,Frame Width = 24 1/8,,,
1458,,,Frame Height = 71 7/8,,,
1459,,,"Unit 1, 2, 4, 5: Unit Code = C56-BOW",,,
1460,,,"Unit 1, 2, 4, 5: Combination Operation / Venting =",,,
1461,,,Stationary-Stationary-Left-Stationary-Stationary,,,
1462,,,"Unit 1, 2, 4, 5: Venting / Handing = Stationary",,,
1463,,,Unit 3: Unit Code = C56-BOW,,,
1464,,,Unit 3: Combination Operation / Venting =,,,
1465,,,Stationary-Stationary-Left-Stationary-Stationary,,,
1466,,,Unit 3: Venting / Handing = Left,,,
1467,,,Unit 3: Hinge Style = Hinge with Wash Mode,,,
1468,,,Exterior Color = White,,,
1469,,,Exterior Sash/Panel Color = White,,,
1470,,,Interior Species = Pine,,,
1471,,,Interior Finish Color = White - Vinyl Wrapped,,,
1472,,,Glass Construction Type = Dual Pane,,,
1473,,,Glass Option = Low-E4 SmartSun,,,
1474,,,High Altitude Breather Tubes = No,,,
1475,,,Glass Strength = Tempered,,,
1476,,,Glass Tint = No Tint,,,
1477,,,Specialty Glass = Fern,,,
1478,,,Gas Fill = Argon,,,
1479,,,Art Glass Series = None,,,
1480,,,Removable Interior Grille,,,
1481,,,Colonial,,,
1482,,,Grille Pattern = Colonial,,,
1483,,,"Grille Bar Width = 7/8""",,,
1484,,,Exterior Grille Color = White,,,
1485,,,Interior Grille Species = Maple,,,
1486,,,Interior Grille Color = White,,,
1487,,,2W6H,,,
1488,,,Grille Alignment Type = Standard Grille Alignment,,,
1489,,,DP/PG Upgrade = No,,,
1490,,,Hardware Style = Contemporary Folding,,,
1491,,,Hardware Color/Finish = Bright Brass,,,
1492,,,Corrosion Resistant Hardware = None,,,
1493,,,Window Opening Control Device = No,,,
1494,,,Security Sensor Type = None,,,
1495,,,Insect Screen Type = Full Screen,,,
1496,,,Insect Screen Material = Aluminum,,,
1497,,,Insect Screen Color = White,,,
1498,,,Bay/Bow Option Type = Walkout,,,
1499,,,Bay/Bow/Box Extension Jamb Color = White - Painted,,,
1500,,,Head and Seat Board Species = Pine,,,
1501,,,Head and Seat Board Finish Color = White - Painted,,,
1502,,,"Overall Wall Depth = 5 1/4""",,,
1503,,,Platform Boards = Top and Bottom Platforms,,,
1504,,,Angle Bay/Bow Supports = w/Cable Support System,,,
